model,pruning_ratio,stage,params,active_params,sparsity,compression_ratio,model_size_mb,sparse_size_mb,flops_g,latency_ms,fps,mAP50,mAP,precision,recall
DETR,0.0,baseline,41524768,41524768,0.0,1.0,158.97312450408936,158.4044189453125,59.564096625,104.12665582000841,19.207377633035353,0.0027571221558918037,0.0019354030375065899,0.0023944981563833526,0.0037570661370861405
DETR,0.3,after_pruning,41524768,29067284,0.3000012824096044,1.4285740436978573,303.57377910614014,115.03409194946289,59.564096625,103.87000714000237,19.254836454418236,0.002335896140693018,0.001514558468090149,0.0012491080068920669,0.004651531525120974
DETR,0.5,after_pruning,41524768,20762385,0.4999999736129711,1.9999998904518905,303.57377910614014,86.12085342407227,59.564096625,103.55491688999564,19.313423834085647,0.0008606635234992632,0.0004764366086007668,0.0010713115094077485,0.00039437378775959996
DETR,0.7,after_pruning,41524768,12457374,0.7000013562932853,3.333348392215645,303.57377910614014,57.20722579956055,59.564096625,103.27912966000213,19.364996651153604,1.3943074272820197e-05,2.7290076174792653e-06,0.0,3.444561832445927e-06
DETR,0.9,after_pruning,41524768,4152412,0.9000015515572991,10.000155058134176,303.57377910614014,28.29376983642578,59.564096625,101.71562525498075,19.66266239809665,1.0813411078948527e-06,2.2679408579909282e-07,0.0,3.114403508886261e-07
DETR,0.3,after_recovery,41524768,29067284,0.3000012824096044,1.4285740436978573,303.57377910614014,115.03409194946289,59.564096625,104.2977629650045,19.175866702635503,2.486580919138768e-05,6.200492013398479e-06,3.7278418355355395e-05,1.7741277782752714e-05
DETR,0.5,after_recovery,41524768,20762385,0.4999999736129711,1.9999998904518905,303.57377910614014,86.12085342407227,59.564096625,104.56994639998811,19.12595414699598,0.0001157895388720807,3.5426566672615464e-05,2.8574286000028574e-06,0.00011487797247545297
DETR,0.7,after_recovery,41524768,12457374,0.7000013562932853,3.333348392215645,303.57377910614014,57.20722579956055,59.564096625,103.90523826999015,19.2483077205708,2.21411019438398e-05,6.394406137716216e-06,2.1301265648549157e-07,2.085172091989357e-05
DETR,0.9,after_recovery,41524768,4152412,0.9000015515572991,10.000155058134176,303.57377910614014,28.29376983642578,59.564096625,102.58063088999279,19.496858058367714,3.685653988893684e-08,7.3713079777873675e-09,0.0,1.2510281611737552e-08
YOLOv5,0.0,baseline,9153152,9153152,4.270973326347919e-06,1.0,35.14005756378174,34.91635513305664,12.0527104,33.87173716798134,118.09255545892597,7.541142408642359e-07,1.7730319955196552e-07,7.0512810437689675e-06,5.6160808612949973e-08
YOLOv5,0.3,after_pruning,9153152,6408053,0.29990741843974117,1.4283825095574805,69.99811267852783,24.469661712646484,12.0527104,34.60348730396254,115.59528566769481,0.0,0.0,0.0,0.0
YOLOv5,0.5,after_pruning,9153152,4577854,0.4998603720258694,1.9994416400299373,69.99811267852783,17.504589080810547,12.0527104,34.247707496004296,116.7961388500729,0.0,0.0,0.0,0.0
YOLOv5,0.7,after_pruning,9153152,2746957,0.6998894365469158,3.332105292002569,69.99811267852783,10.536865234375,12.0527104,33.88880286399581,118.03308650509122,0.0,0.0,0.0,0.0
YOLOv5,0.9,after_pruning,9153152,915858,0.8999406225195501,9.994065675666624,69.99811267852783,3.568370819091797,12.0527104,30.51561028800461,131.0804523405636,0.0,0.0,0.0,0.0
YOLOv5,0.3,after_recovery,9153152,6408053,0.29990741843974117,1.4283825095574805,69.99811267852783,24.469661712646484,12.0527104,30.740035592001732,130.12346677440942,0.0,0.0,0.0,0.0
YOLOv5,0.5,after_recovery,9153152,4577854,0.4998603720258694,1.9994416400299373,69.99811267852783,17.504589080810547,12.0527104,30.952525015996798,129.2301677466614,0.0,0.0,0.0,0.0
YOLOv5,0.7,after_recovery,9153152,2746957,0.6998894365469158,3.332105292002569,69.99811267852783,10.536865234375,12.0527104,31.111116912004945,128.5714045983514,0.0,0.0,0.0,0.0
YOLOv5,0.9,after_recovery,9153152,915858,0.8999406225195501,9.994065675666624,69.99811267852783,3.568370819091797,12.0527104,30.940238960005445,129.28148373936463,0.0,0.0,0.0,0.0
